lru-slab	0.1.2	MIT OR Apache-2.0 OR Zlib	https://github.com/Ralith/lru-slab	registry+https://github.com/rust-lang/crates.io-index
mach-sys	0.5.4	GPL-3.0 OR Apache-2.0	https://github.com/delta4chat/mach	registry+https://github.com/rust-lang/crates.io-index
matchit	0.8.4	MIT AND BSD-3-Clause	https://github.com/ibraheemdev/matchit	registry+https://github.com/rust-lang/crates.io-index
matrixmultiply	0.3.10	MIT/Apache-2.0	https://github.com/bluss/matrixmultiply/	registry+https://github.com/rust-lang/crates.io-index
memchr	2.8.0	Unlicense OR MIT	https://github.com/BurntSushi/memchr	registry+https://github.com/rust-lang/crates.io-index
mime	0.3.17	MIT OR Apache-2.0	https://github.com/hyperium/mime	registry+https://github.com/rust-lang/crates.io-index
minimal-lexical	0.2.1	MIT/Apache-2.0	https://github.com/Alexhuszagh/minimal-lexical	registry+https://github.com/rust-lang/crates.io-index
miniz_oxide	0.8.9	MIT OR Zlib OR Apache-2.0	https://github.com/Frommi/miniz_oxide/tree/master/miniz_oxide	registry+https://github.com/rust-lang/crates.io-index
mio	1.2.0	MIT	https://github.com/tokio-rs/mio	registry+https://github.com/rust-lang/crates.io-index
mlai-trade	1.1.44	MIT		local
mlx-internal-macros	0.25.3	MIT OR Apache-2.0	https://github.com/oxideai/mlx-rs	registry+https://github.com/rust-lang/crates.io-index
mlx-macros	0.25.3	MIT OR Apache-2.0	https://github.com/oxideai/mlx-rs	registry+https://github.com/rust-lang/crates.io-index
mlx-rs	0.25.3	MIT OR Apache-2.0	https://github.com/oxideai/mlx-rs	registry+https://github.com/rust-lang/crates.io-index
mlx-sys	0.2.0	MIT OR Apache-2.0	https://github.com/oxideai/mlx-rs	registry+https://github.com/rust-lang/crates.io-index
native-tls	0.2.18	MIT OR Apache-2.0	https://github.com/rust-native-tls/rust-native-tls	registry+https://github.com/rust-lang/crates.io-index
ndarray	0.16.1	MIT OR Apache-2.0	https://github.com/rust-ndarray/ndarray	registry+https://github.com/rust-lang/crates.io-index
nom	7.1.3	MIT	https://github.com/Geal/nom	registry+https://github.com/rust-lang/crates.io-index
num-bigint	0.4.6	MIT OR Apache-2.0	https://github.com/rust-num/num-bigint	registry+https://github.com/rust-lang/crates.io-index
num-complex	0.4.6	MIT OR Apache-2.0	https://github.com/rust-num/num-complex	registry+https://github.com/rust-lang/crates.io-index
num-conv	0.2.1	MIT OR Apache-2.0	https://github.com/jhpratt/num-conv	registry+https://github.com/rust-lang/crates.io-index
num-integer	0.1.46	MIT OR Apache-2.0	https://github.com/rust-num/num-integer	registry+https://github.com/rust-lang/crates.io-index
num-traits	0.2.19	MIT OR Apache-2.0	https://github.com/rust-num/num-traits	registry+https://github.com/rust-lang/crates.io-index
num_enum	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum	registry+https://github.com/rust-lang/crates.io-index
num_enum_derive	0.7.6	BSD-3-Clause OR MIT OR Apache-2.0	https://github.com/illicitonion/num_enum	registry+https://github.com/rust-lang/crates.io-index
oid-registry	0.8.1	MIT OR Apache-2.0	https://github.com/rusticata/oid-registry.git	registry+https://github.com/rust-lang/crates.io-index
once_cell	1.21.4	MIT OR Apache-2.0	https://github.com/matklad/once_cell	registry+https://github.com/rust-lang/crates.io-index
once_cell_polyfill	1.70.2	MIT OR Apache-2.0	https://github.com/polyfill-rs/once_cell_polyfill	registry+https://github.com/rust-lang/crates.io-index
openmp-sys	1.3.0	CC0-1.0	https://gitlab.com/kornelski/openmp-rs.git	registry+https://github.com/rust-lang/crates.io-index
openssl	0.10.78	Apache-2.0	https://github.com/rust-openssl/rust-openssl	registry+https://github.com/rust-lang/crates.io-index
openssl-macros	0.1.1	MIT/Apache-2.0		registry+https://github.com/rust-lang/crates.io-index
openssl-probe	0.2.1	MIT OR Apache-2.0	https://github.com/rustls/openssl-probe	registry+https://github.com/rust-lang/crates.io-index
openssl-sys	0.9.114	MIT	https://github.com/rust-openssl/rust-openssl	registry+https://github.com/rust-lang/crates.io-index
option-ext	0.2.0	MPL-2.0	https://github.com/soc/option-ext.git	registry+https://github.com/rust-lang/crates.io-index
parking_lot	0.12.5	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot	registry+https://github.com/rust-lang/crates.io-index
parking_lot_core	0.9.12	MIT OR Apache-2.0	https://github.com/Amanieu/parking_lot	registry+https://github.com/rust-lang/crates.io-index
password-hash	0.4.2	MIT OR Apache-2.0	https://github.com/RustCrypto/traits/tree/master/password-hash	registry+https://github.com/rust-lang/crates.io-index
paste	1.0.15	MIT OR Apache-2.0	https://github.com/dtolnay/paste	registry+https://github.com/rust-lang/crates.io-index
pbkdf2	0.11.0	MIT OR Apache-2.0	https://github.com/RustCrypto/password-hashes/tree/master/pbkdf2	registry+https://github.com/rust-lang/crates.io-index
pem	3.0.6	MIT	https://github.com/jcreekmore/pem-rs.git	registry+https://github.com/rust-lang/crates.io-index
percent-encoding	2.3.2	MIT OR Apache-2.0	https://github.com/servo/rust-url/	registry+https://github.com/rust-lang/crates.io-index
phf	0.11.3	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
phf	0.12.1	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
phf_generator	0.11.3	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
phf_macros	0.11.3	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
phf_shared	0.11.3	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
phf_shared	0.12.1	MIT	https://github.com/rust-phf/rust-phf	registry+https://github.com/rust-lang/crates.io-index
pin-project-lite	0.2.17	Apache-2.0 OR MIT	https://github.com/taiki-e/pin-project-lite	registry+https://github.com/rust-lang/crates.io-index
pkg-config	0.3.33	MIT OR Apache-2.0	https://github.com/rust-lang/pkg-config-rs	registry+https://github.com/rust-lang/crates.io-index
portable-atomic	1.13.1	Apache-2.0 OR MIT	https://github.com/taiki-e/portable-atomic	registry+https://github.com/rust-lang/crates.io-index
portable-atomic-util	0.2.7	Apache-2.0 OR MIT	https://github.com/taiki-e/portable-atomic-util	registry+https://github.com/rust-lang/crates.io-index
potential_utf	0.1.5	Unicode-3.0	https://github.com/unicode-org/icu4x	registry+https://github.com/rust-lang/crates.io-index
powerfmt	0.2.0	MIT OR Apache-2.0	https://github.com/jhpratt/powerfmt	registry+https://github.com/rust-lang/crates.io-index
ppv-lite86	0.2.21	MIT OR Apache-2.0	https://github.com/cryptocorrosion/cryptocorrosion	registry+https://github.com/rust-lang/crates.io-index
prettyplease	0.2.37	MIT OR Apache-2.0	https://github.com/dtolnay/prettyplease	registry+https://github.com/rust-lang/crates.io-index
proc-macro-crate	3.5.0	MIT OR Apache-2.0	https://github.com/bkchr/proc-macro-crate	registry+https://github.com/rust-lang/crates.io-index
proc-macro2	1.0.106	MIT OR Apache-2.0	https://github.com/dtolnay/proc-macro2	registry+https://github.com/rust-lang/crates.io-index
quick-xml	0.36.2	MIT	https://github.com/tafia/quick-xml	registry+https://github.com/rust-lang/crates.io-index
quinn	0.11.9	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn	registry+https://github.com/rust-lang/crates.io-index
quinn-proto	0.11.14	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn	registry+https://github.com/rust-lang/crates.io-index
quinn-udp	0.5.14	MIT OR Apache-2.0	https://github.com/quinn-rs/quinn	registry+https://github.com/rust-lang/crates.io-index
quote	1.0.45	MIT OR Apache-2.0	https://github.com/dtolnay/quote	registry+https://github.com/rust-lang/crates.io-index
r-efi	5.3.0	MIT OR Apache-2.0 OR LGPL-2.1-or-later	https://github.com/r-efi/r-efi	registry+https://github.com/rust-lang/crates.io-index
